赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2016,4,38,南安普敦,斯托克城,0,1,0,0
2016,4,38,伯恩利,西汉姆联,1,2,1,1
2016,4,35,沃特福德,利物浦,0,1,0,1
2016,4,33,米德尔斯堡,阿森纳,1,2,0,1
2016,4,32,米德尔斯堡,伯恩利,0,0,0,0
2016,4,32,曼彻斯特城,赫尔城,3,1,1,0
2016,4,32,斯托克城,利物浦,1,2,1,0
2016,4,32,托特纳姆热刺,沃特福德,4,0,3,0
2016,4,35,托特纳姆热刺,阿森纳,2,0,0,0
2016,4,35,埃弗顿,切尔西,0,3,0,0
2016,4,35,米德尔斯堡,曼彻斯特城,2,2,1,0
2016,4,35,曼彻斯特联,斯旺西,1,1,1,0
2016,4,35,水晶宫,伯恩利,0,2,0,1
2016,4,35,南安普敦,赫尔城,0,0,0,0
2016,4,35,桑德兰,伯恩茅斯,0,1,0,0
2016,4,33,曼彻斯特联,切尔西,2,0,1,0
2016,4,33,西布罗姆维奇,利物浦,0,1,0,1
2016,4,33,南安普敦,曼彻斯特城,0,3,0,0
2016,4,33,水晶宫,莱切斯特城,2,2,0,1
2016,4,33,桑德兰,西汉姆联,2,2,1,1
2016,4,33,埃弗顿,伯恩利,3,1,0,0
2016,4,33,斯托克城,赫尔城,3,1,1,0
2016,4,33,沃特福德,斯旺西,1,0,1,0
2016,4,35,西布罗姆维奇,莱切斯特城,0,1,0,1
2016,4,35,斯托克城,西汉姆联,0,0,0,0
2016,4,33,托特纳姆热刺,伯恩茅斯,4,0,2,0
2016,4,36,切尔西,米德尔斯堡,3,0,2,0
2016,4,36,阿森纳,曼彻斯特联,2,0,0,0
2016,4,36,利物浦,南安普敦,0,0,0,0
2016,4,36,斯旺西,埃弗顿,1,0,1,0
2016,4,36,伯恩茅斯,斯托克城,2,2,0,1
2016,4,36,赫尔城,桑德兰,0,2,0,0
2016,4,36,莱切斯特城,沃特福德,3,0,1,0
2016,4,36,伯恩利,西布罗姆维奇,2,2,0,0
2016,4,36,曼彻斯特城,水晶宫,5,0,1,0
2016,4,36,西汉姆联,托特纳姆热刺,1,0,0,0
2017,4,4,西汉姆联,哈德斯菲尔德,2,0,0,0
2017,4,3,托特纳姆热刺,伯恩利,1,1,0,0
2017,4,2,曼彻斯特城,埃弗顿,1,1,0,1
2017,4,4,斯旺西,纽卡斯尔联,0,1,0,0
2017,4,4,伯恩利,水晶宫,1,0,1,0
2017,4,4,斯托克城,曼彻斯特联,2,2,1,1
2017,4,4,布赖顿霍夫,西布罗姆维奇,3,1,1,0
2017,4,4,南安普敦,沃特福德,0,2,0,1
2017,4,3,利物浦,阿森纳,4,0,2,0
2017,4,3,西布罗姆维奇,斯托克城,1,1,0,0
2017,4,3,切尔西,埃弗顿,2,0,2,0
2017,4,3,曼彻斯特联,莱切斯特城,2,0,0,0
2017,4,3,沃特福德,布赖顿霍夫,0,0,0,0
2017,4,3,水晶宫,斯旺西,0,2,0,1
2017,4,3,哈德斯菲尔德,南安普敦,0,0,0,0
2017,4,6,阿森纳,西布罗姆维奇,2,0,1,0
2017,4,2,托特纳姆热刺,切尔西,1,2,0,1
2017,4,2,哈德斯菲尔德,纽卡斯尔联,1,0,0,0
2017,4,2,斯托克城,阿森纳,1,0,0,0
2017,4,2,莱切斯特城,布赖顿霍夫,2,0,1,0
2017,4,2,南安普敦,西汉姆联,3,2,2,1
2017,4,4,阿森纳,伯恩茅斯,3,0,2,0
2017,4,4,莱切斯特城,切尔西,1,2,0,1
2017,4,4,埃弗顿,托特纳姆热刺,0,3,0,2
2017,4,4,曼彻斯特城,利物浦,5,0,2,0
2017,4,3,纽卡斯尔联,西汉姆联,3,0,1,0
2017,4,3,伯恩茅斯,曼彻斯特城,1,2,1,1
2017,4,6,布赖顿霍夫,纽卡斯尔联,1,0,0,0
2017,4,6,莱切斯特城,利物浦,2,3,1,2
2017,4,6,伯恩利,哈德斯菲尔德,0,0,0,0
2017,4,6,斯旺西,沃特福德,1,2,0,1
2017,4,6,曼彻斯特城,水晶宫,5,0,1,0
2017,4,6,斯托克城,切尔西,0,4,0,2
