赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2015,5,17,尼斯,巴黎圣日尔曼,0,3,0,2
2015,5,21,圣埃蒂安,里昂,1,0,0,0
2015,5,20,马赛,甘冈,0,0,0,0
2015,5,15,马赛,摩纳哥,3,3,1,2
2015,5,19,波尔多,马赛,1,1,0,0
2015,5,21,卡昂,马赛,1,3,0,1
2015,5,21,洛里昂,摩纳哥,0,2,0,0
2015,5,21,巴斯蒂亚,蒙彼利埃,1,0,0,0
2015,5,21,甘冈,南特,2,2,2,0
2015,5,21,特鲁瓦,雷恩,2,4,2,3
2015,5,20,里尔,尼斯,1,1,1,1
2015,5,20,南特,圣埃蒂安,2,1,1,1
2015,5,20,雷恩,洛里昂,2,2,2,2
2015,5,20,昂热,卡昂,2,0,1,0
2015,5,20,摩纳哥,阿雅克肖GFC,2,2,0,2
2015,5,20,兰斯,图卢兹,1,3,1,0
2015,5,20,蒙彼利埃,波尔多,0,1,0,1
2015,5,20,里昂,特鲁瓦,4,1,1,0
2015,5,15,波尔多,卡昂,1,4,0,1
2015,5,15,圣埃蒂安,甘冈,3,0,0,0
2015,5,15,图卢兹,尼斯,2,0,1,0
2015,5,15,南特,巴斯蒂亚,0,0,0,0
2015,5,19,阿雅克肖GFC,里昂,2,1,1,0
2015,5,19,圣埃蒂安,昂热,1,0,0,0
2015,5,19,洛里昂,南特,0,0,0,0
2015,5,19,甘冈,雷恩,0,2,0,0
2015,5,19,特鲁瓦,摩纳哥,0,0,0,0
2015,5,19,巴斯蒂亚,兰斯,2,0,1,0
2015,5,19,图卢兹,里尔,1,1,1,0
2015,5,19,卡昂,巴黎圣日尔曼,0,3,0,2
2015,5,19,尼斯,蒙彼利埃,1,0,1,0
2015,5,18,巴黎圣日尔曼,里昂,5,1,2,1
2015,5,16,雷恩,马赛,0,1,0,1
2015,5,21,波尔多,里尔,1,0,0,0
2015,5,21,阿雅克肖GFC,兰斯,2,2,1,2
2015,5,21,图卢兹,巴黎圣日尔曼,0,1,0,0
2015,5,21,尼斯,昂热,2,1,0,1
2015,5,20,巴黎圣日尔曼,巴斯蒂亚,2,0,2,0
2015,5,15,阿雅克肖GFC,洛里昂,1,1,1,1
2015,5,15,兰斯,雷恩,2,2,0,1
2015,5,15,昂热,里尔,2,0,2,0
2015,5,15,巴黎圣日尔曼,特鲁瓦,4,1,1,0
2015,5,15,里昂,蒙彼利埃,2,4,1,2
2015,5,18,昂热,波尔多,1,1,0,1
2015,5,18,马赛,阿雅克肖GFC,1,1,1,1
2015,5,18,摩纳哥,圣埃蒂安,1,0,0,0
2015,5,18,特鲁瓦,巴斯蒂亚,1,1,0,1
2015,5,18,里尔,洛里昂,3,0,1,0
2015,5,18,南特,图卢兹,1,1,0,0
2015,5,18,蒙彼利埃,甘冈,2,1,0,1
2015,5,18,兰斯,尼斯,1,1,0,1
2015,5,16,里尔,圣埃蒂安,1,0,0,0
2015,5,16,摩纳哥,卡昂,1,1,0,0
2015,5,16,甘冈,兰斯,1,2,1,1
2015,5,16,蒙彼利埃,阿雅克肖GFC,0,2,0,1
2015,5,16,特鲁瓦,图卢兹,0,3,0,1
2015,5,16,巴斯蒂亚,波尔多,1,0,0,0
2015,5,22,里昂,马赛,1,1,0,0
2015,5,18,雷恩,卡昂,1,1,0,0
2015,5,16,南特,里昂,0,0,0,0
2015,5,16,洛里昂,尼斯,0,0,0,0
2015,5,16,昂热,巴黎圣日尔曼,0,0,0,0
2015,5,22,兰斯,圣埃蒂安,1,1,0,0
2015,5,22,摩纳哥,图卢兹,4,0,2,0
2015,5,22,尼斯,洛里昂,2,1,2,1
2015,5,22,甘冈,巴斯蒂亚,1,0,0,0
2015,5,22,里尔,特鲁瓦,1,3,1,0
2015,5,22,南特,波尔多,2,2,2,0
2015,5,22,蒙彼利埃,卡昂,1,2,1,1
2015,5,22,巴黎圣日尔曼,昂热,5,1,2,0
2015,5,22,雷恩,阿雅克肖GFC,1,0,0,0
2015,5,23,圣埃蒂安,巴黎圣日尔曼,0,2,0,0
2015,5,23,波尔多,雷恩,4,0,1,0
2015,5,23,卡昂,尼斯,2,0,2,0
2015,5,23,阿雅克肖GFC,蒙彼利埃,0,4,0,2
2015,5,23,特鲁瓦,南特,0,1,0,1
2015,5,28,阿雅克肖GFC,马赛,1,1,0,0
2015,5,27,巴斯蒂亚,南特,0,0,0,0
2015,5,25,马赛,巴黎圣日尔曼,1,2,1,1
2015,5,24,雷恩,圣埃蒂安,0,1,0,0
2015,5,23,洛里昂,兰斯,2,0,1,0
2015,5,23,巴斯蒂亚,里昂,1,0,0,0
2015,5,23,图卢兹,甘冈,1,2,0,1
2015,5,23,昂热,摩纳哥,3,0,2,0
2015,5,23,马赛,里尔,1,1,0,0
2015,5,28,里昂,巴黎圣日尔曼,2,1,2,0
2015,5,28,圣埃蒂安,卡昂,1,2,0,0
2015,5,28,南特,摩纳哥,0,0,0,0
2015,5,28,兰斯,波尔多,4,1,2,0
2015,5,28,特鲁瓦,洛里昂,0,1,0,1
2015,5,28,甘冈,昂热,2,2,1,1
2015,5,28,图卢兹,雷恩,1,2,0,0
2015,5,28,蒙彼利埃,里尔,3,0,0,0
2015,5,28,尼斯,巴斯蒂亚,0,2,0,0
2015,5,27,里尔,里昂,1,0,1,0
2015,5,27,卡昂,雷恩,1,0,0,0
2015,5,27,马赛,圣埃蒂安,1,1,0,0
2015,5,27,洛里昂,甘冈,4,3,1,2
2015,5,27,昂热,蒙彼利埃,2,3,0,3
2015,5,27,图卢兹,阿雅克肖GFC,1,1,0,0
2015,5,25,波尔多,圣埃蒂安,1,4,1,2
2015,5,25,里尔,雷恩,1,1,1,0
2015,5,25,洛里昂,蒙彼利埃,1,1,0,1
2015,5,25,巴斯蒂亚,特鲁瓦,2,0,1,0
2015,5,25,卡昂,兰斯,0,2,0,1
2015,5,25,图卢兹,南特,0,0,0,0
2015,5,25,阿雅克肖GFC,甘冈,0,0,0,0
2015,5,25,昂热,里昂,0,3,0,1
2015,5,24,巴黎圣日尔曼,洛里昂,3,1,1,1
2015,5,24,里尔,卡昂,1,0,0,0
2015,5,24,甘冈,特鲁瓦,4,0,1,0
2015,5,24,兰斯,昂热,2,1,1,1
2015,5,24,南特,阿雅克肖GFC,3,1,2,1
2015,5,24,尼斯,图卢兹,1,0,0,0
2015,5,24,里昂,波尔多,3,0,1,0
2015,5,24,蒙彼利埃,马赛,0,1,0,0
2015,5,29,里昂,甘冈,5,1,3,1
2015,5,26,尼斯,马赛,1,1,0,1
2015,5,27,摩纳哥,特鲁瓦,3,1,2,0
2015,5,27,巴黎圣日尔曼,兰斯,4,1,3,1
2015,5,27,波尔多,尼斯,0,0,0,0
2015,5,25,摩纳哥,尼斯,1,0,0,0
2015,5,30,雷恩,里昂,2,2,0,1
2015,5,24,摩纳哥,巴斯蒂亚,2,0,1,0
2015,5,29,雷恩,南特,4,1,4,0
2015,5,29,马赛,图卢兹,1,1,0,0
2015,5,29,巴斯蒂亚,洛里昂,0,0,0,0
2015,5,29,尼斯,特鲁瓦,2,1,1,1
2015,5,29,昂热,圣埃蒂安,0,0,0,0
2015,5,29,里尔,兰斯,2,0,0,0
2015,5,29,波尔多,阿雅克肖GFC,1,1,1,0
2015,5,29,巴黎圣日尔曼,蒙彼利埃,0,0,0,0
2015,5,26,圣埃蒂安,摩纳哥,1,1,0,0
2015,5,26,里昂,卡昂,4,1,3,0
2015,5,26,蒙彼利埃,图卢兹,2,0,1,0
2015,5,26,南特,洛里昂,2,1,2,0
2015,5,26,阿雅克肖GFC,特鲁瓦,2,3,1,3
2015,5,26,兰斯,巴斯蒂亚,0,1,0,0
2015,5,26,甘冈,波尔多,2,4,1,2
2015,5,26,巴黎圣日尔曼,里尔,0,0,0,0
2015,5,30,南特,昂热,2,0,0,0
2015,5,30,特鲁瓦,巴黎圣日尔曼,0,9,0,3
2015,5,30,蒙彼利埃,尼斯,0,2,0,0
2015,5,30,阿雅克肖GFC,卡昂,1,0,0,0
2015,5,30,甘冈,圣埃蒂安,2,0,2,0
2015,5,30,巴斯蒂亚,里尔,1,2,0,1
2015,5,30,图卢兹,波尔多,4,0,1,0
2015,5,30,洛里昂,马赛,1,1,1,0
2015,5,30,摩纳哥,兰斯,2,2,2,1
2015,5,29,卡昂,摩纳哥,2,2,0,0
2015,5,26,雷恩,昂热,1,0,0,0
2015,5,34,摩纳哥,马赛,2,1,0,0
2015,5,31,巴黎圣日尔曼,摩纳哥,0,2,0,0
2015,5,34,雷恩,甘冈,0,3,0,0
2015,5,34,南特,蒙彼利埃,0,2,0,1
2015,5,34,波尔多,昂热,1,3,0,0
2015,5,34,洛里昂,图卢兹,1,1,0,0
2015,5,34,巴斯蒂亚,圣埃蒂安,0,1,0,0
2015,5,34,特鲁瓦,兰斯,2,1,0,0
2015,5,34,阿雅克肖GFC,里尔,2,4,1,1
2015,5,32,洛里昂,里昂,1,3,1,1
2015,5,31,尼斯,阿雅克肖GFC,3,0,1,0
2015,5,31,波尔多,巴斯蒂亚,1,1,0,0
2015,5,35,波尔多,巴黎圣日尔曼,1,1,0,0
2015,5,37,马赛,兰斯,1,0,0,0
2015,5,33,马赛,波尔多,0,0,0,0
2015,5,36,昂热,马赛,0,1,0,1
2015,5,34,巴黎圣日尔曼,卡昂,6,0,2,0
2015,5,34,里昂,尼斯,1,1,0,1
2015,5,32,巴斯蒂亚,马赛,2,1,0,0
2015,5,32,南特,里尔,0,3,0,1
2015,5,32,阿雅克肖GFC,圣埃蒂安,0,2,0,1
2015,5,32,图卢兹,卡昂,2,0,1,0
2015,5,32,特鲁瓦,昂热,0,1,0,0
2015,5,32,雷恩,兰斯,3,1,2,0
2015,5,32,甘冈,蒙彼利埃,2,2,1,1
2015,5,32,巴黎圣日尔曼,尼斯,4,1,2,1
2015,5,31,里昂,南特,2,0,0,0
2015,5,31,里尔,图卢兹,1,0,1,0
2015,5,31,昂热,洛里昂,5,1,3,1
2015,5,31,卡昂,特鲁瓦,2,1,1,1
2015,5,31,兰斯,甘冈,0,1,0,1
2015,5,31,圣埃蒂安,蒙彼利埃,3,0,0,0
2015,5,31,马赛,雷恩,2,5,1,3
2015,5,35,里尔,昂热,0,0,0,0
2015,5,35,雷恩,摩纳哥,1,1,0,1
2015,5,35,圣埃蒂安,洛里昂,2,0,0,0
2015,5,35,甘冈,卡昂,1,1,0,1
2015,5,35,蒙彼利埃,特鲁瓦,4,1,3,1
2015,5,35,阿雅克肖GFC,巴斯蒂亚,3,2,2,1
2015,5,35,马赛,南特,1,1,0,1
2015,5,35,图卢兹,里昂,2,3,0,0
2015,5,37,巴斯蒂亚,昂热,1,0,1,0
2015,5,37,南特,卡昂,1,2,0,2
2015,5,33,尼斯,雷恩,3,0,2,0
2015,5,33,里尔,摩纳哥,4,1,1,0
2015,5,33,圣埃蒂安,特鲁瓦,1,0,0,0
2015,5,33,兰斯,南特,2,1,1,0
2015,5,33,昂热,阿雅克肖GFC,0,0,0,0
2015,5,33,图卢兹,巴斯蒂亚,4,0,0,0
2015,5,33,卡昂,洛里昂,1,2,0,1
2015,5,33,甘冈,巴黎圣日尔曼,0,2,0,0
2015,5,33,蒙彼利埃,里昂,0,2,0,2
2015,5,36,里昂,阿雅克肖GFC,2,1,2,0
2015,5,36,兰斯,蒙彼利埃,2,3,0,1
2015,5,36,卡昂,巴斯蒂亚,0,0,0,0
2015,5,36,特鲁瓦,波尔多,2,4,0,2
2015,5,36,洛里昂,里尔,0,1,0,0
2015,5,36,摩纳哥,甘冈,3,2,2,0
2015,5,32,摩纳哥,波尔多,1,2,0,1
2015,5,38,洛里昂,阿雅克肖GFC,1,0,1,0
2015,5,35,尼斯,兰斯,2,0,1,0
2015,5,37,波尔多,洛里昂,3,0,2,0
2015,5,37,阿雅克肖GFC,巴黎圣日尔曼,0,4,0,1
2015,5,37,尼斯,圣埃蒂安,2,0,0,0
2015,5,37,蒙彼利埃,雷恩,2,0,0,0
2015,5,37,里尔,甘冈,0,0,0,0
2015,5,37,里昂,摩纳哥,6,1,4,1
2015,5,36,圣埃蒂安,图卢兹,0,0,0,0
2015,5,36,南特,尼斯,1,0,0,0
2015,5,36,巴黎圣日尔曼,雷恩,4,0,0,0
2015,5,38,甘冈,尼斯,2,3,1,2
2015,5,38,摩纳哥,蒙彼利埃,2,0,2,0
2015,5,38,昂热,图卢兹,2,3,1,0
2015,5,38,雷恩,巴斯蒂亚,1,2,0,1
2015,5,38,特鲁瓦,马赛,1,1,1,0
2015,5,38,卡昂,波尔多,1,0,1,0
2015,5,38,圣埃蒂安,里尔,0,1,0,1
2015,5,38,兰斯,里昂,4,1,2,0
2015,5,38,巴黎圣日尔曼,南特,4,0,2,0
2015,5,37,图卢兹,特鲁瓦,1,0,0,0
2016,5,4,尼斯,马赛,3,2,1,1
2016,5,4,雷恩,卡昂,2,0,0,0
2016,5,4,南特,梅斯,0,3,0,2
2016,5,4,里尔,摩纳哥,1,4,0,2
2016,5,4,甘冈,蒙彼利埃,1,1,1,1
2016,5,4,洛里昂,南锡,0,2,0,1
2016,5,4,昂热,第戎,3,1,1,1
2016,5,4,巴斯蒂亚,图卢兹,2,1,1,0
2016,5,6,雷恩,马赛,3,2,1,1
2016,5,3,摩纳哥,巴黎圣日尔曼,3,1,2,0
